Image Name,Channel,Spot Name,Signal,Total,Area,Bkgnd.,Type
0001205_02,Chemi,T08,1735.09375,3402.59375,145,11.5,Signal
0001205_02,Chemi,T09,11462.375,13129.875,145,11.5,Signal
0001205_02,Chemi,T10,30684.125,32351.625,145,11.5,Signal
0001205_02,Chemi,T11,37699.25,39366.75,145,11.5,Signal
0001205_02,Chemi,T12,10314.0625,11981.5625,145,11.5,Signal
0001205_02,Chemi,T13,3086.53125,4754.03125,145,11.5,Signal
0001205_02,Chemi,T14,15775.03125,17442.53125,145,11.5,Signal
0001205_02,Chemi,T15,138.1328125,1805.632813,145,11.5,Signal
0001205_02,Chemi,T16,24204.3125,25871.8125,145,11.5,Signal
0001205_02,Chemi,T17,12620.90625,14288.40625,145,11.5,Signal
0001205_02,Chemi,T18,0,1667.5,145,11.5,Signal
